 	assay	results	details	details2	outlierDruggableGroup	Activated GeneSet Lead for CKCC paper	Upoutlier support	Pathway support	Other support	comment
TH06_0613_S01	geneSets_priority1	BIOCARTA_ERK_PATHWAY (comm_up (2/28) and pc_up (2/28) and pd_up (3/28))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	BIOCARTA_PYK2_PATHWAY (comm_up (2/31) and pc_up (2/31) and pd_up (3/31))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	KEGG_ERBB_SIGNALING_PATHWAY (comm_up (3/87) and pc_up (3/87) and pd_up (4/87))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,NRG1 and pd_up MAP2K1,MAP2K2,NRG1,SHC1						
TH06_0613_S01	geneSets_priority1	PID_ERBB2_ERBB3_PATHWAY (comm_up (3/44) and pc_up (3/44) and pd_up (4/44))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,NRG1 and pd_up MAP2K1,MAP2K2,NRG1,SHC1						
TH06_0613_S01	geneSets_priority1	REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING (comm_up (3/22) and pc_up (3/22) and pd_up (3/22))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,NRG1 and pd_up MAP2K1,MAP2K2,NRG1						
TH06_0613_S01	geneSets_priority1	REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH (comm_up (3/64) and pc_up (3/64) and pd_up (4/64))	druggable: FGFR1 (pd), MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up COL2A1,MAP2K1,MAP2K2 and pd_up COL2A1,FGFR1,MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	REACTOME_RAF_MAP_KINASE_CASCADE (comm_up (2/10) and pc_up (2/10) and pd_up (2/10))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	REACTOME_SHC_MEDIATED_SIGNALLING (comm_up (2/15) and pc_up (2/15) and pd_up (3/15))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING (comm_up (2/15) and pc_up (2/15) and pd_up (3/15))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING (comm_up (3/20) and pc_up (3/20) and pd_up (4/20))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,NRG1 and pd_up MAP2K1,MAP2K2,NRG1,SHC1						
TH06_0613_S01	geneSets_priority1	REACTOME_SIGNALING_BY_ERBB2 (comm_up (3/101) and pc_up (4/101) and pd_up (4/101))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,NRG1,PHLPP1 and pd_up MAP2K1,MAP2K2,NRG1,SHC1						
TH06_0613_S01	geneSets_priority1	REACTOME_SIGNALING_BY_ERBB4 (comm_up (3/90) and pc_up (6/90) and pd_up (4/90))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up GFAP,MAP2K1,MAP2K2,NRG1,PHLPP1,S100B and pd_up MAP2K1,MAP2K2,NRG1,SHC1						
TH06_0613_S01	geneSets_priority1	REACTOME_SIGNALING_BY_PDGF (comm_up (4/122) and pc_up (5/122) and pd_up (4/122))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up COL2A1,MAP2K1,MAP2K2,PHLPP1,THBS3 and pd_up COL2A1,MAP2K1,MAP2K2,THBS3						
TH06_0613_S01	geneSets_priority1	REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN (comm_up (2/15) and pc_up (2/15) and pd_up (2/15))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	REACTOME_SIGNALLING_TO_RAS (comm_up (2/27) and pc_up (2/27) and pd_up (3/27))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	REACTOME_SOS_MEDIATED_SIGNALLING (comm_up (2/14) and pc_up (2/14) and pd_up (2/14))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	SA_TRKA_RECEPTOR (comm_up (2/17) and pc_up (2/17) and pd_up (3/17))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	ST_ERK1_ERK2_MAPK_PATHWAY (comm_up (2/32) and pc_up (2/32) and pd_up (3/32))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	BIOCARTA_AT1R_PATHWAY (comm_up (2/36) and pd_up (3/36))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	BIOCARTA_MAL_PATHWAY (comm_up (2/19) and pc_up (2/19))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	BIOCARTA_MAPK_PATHWAY (pc_up (3/87) and pd_up (4/87))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,TGFB2 and pd_up MAP2K1,MAP2K2,RAPGEF2,SHC1						
TH06_0613_S01	geneSets_priority1	HALLMARK_P53_PATHWAY (pd_up (6/200))	druggable: CCND3 (pd)	overlap_genes_in_pc_up NA and pd_up CCND3,CCNG1,GNB2L1,PLK2,SFN,TM4SF1						
TH06_0613_S01	geneSets_priority1	PID_AR_NONGENOMIC_PATHWAY (comm_up (2/31) and pc_up (2/31))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	PID_FCER1_PATHWAY (comm_up (2/62) and pd_up (4/62))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up DOK1,MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	PID_GMCSF_PATHWAY (comm_up (2/37) and pd_up (3/37))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	PID_IL2_1PATHWAY (comm_up (2/55) and pd_up (3/55))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	PID_KIT_PATHWAY (comm_up (2/52) and pd_up (5/52))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up DOK1,KITLG,MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	PID_MTOR_4PATHWAY (comm_up (2/69) and pd_up (4/69))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up BNIP3,MAP2K1,MAP2K2,SFN						
TH06_0613_S01	geneSets_priority1	PID_NETRIN_PATHWAY (comm_up (2/32) and pc_up (3/32))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,NTN1 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	PID_PDGFRB_PATHWAY (pd_up (5/129))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up DOK1,MAP2K1,MAP2K2,SFN,SHC1						
TH06_0613_S01	geneSets_priority1	PID_SHP2_PATHWAY (comm_up (2/58) and pd_up (3/58))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	REACTOME_ARMS_MEDIATED_ACTIVATION (comm_up (2/17) and pc_up (2/17))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR (pc_up (3/100) and pd_up (4/100))	druggable: FGFR1 (pd), MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,PHLPP1 and pd_up FGFR1,MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	REACTOME_FRS2_MEDIATED_CASCADE (comm_up (2/36) and pd_up (3/36))	druggable: FGFR1 (pd), MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up FGFR1,MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	REACTOME_IL_2_SIGNALING (comm_up (2/41) and pd_up (3/41))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE (comm_up (2/83) and pc_up (3/83))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,S100B and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE (comm_up (2/72) and pc_up (3/72))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,S100B and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS (comm_up (2/19) and pc_up (2/19))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	REACTOME_SIGNAL_TRANSDUCTION_BY_L1 (comm_up (2/34) and pd_up (3/34))	druggable: FGFR1 (pd), MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up FGFR1,MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	REACTOME_SIGNALING_BY_FGFR (pc_up (3/112) and pd_up (4/112))	druggable: FGFR1 (pd), MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,PHLPP1 and pd_up FGFR1,MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	REACTOME_SIGNALING_BY_SCF_KIT (comm_up (2/78) and pc_up (3/78))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,PHLPP1 and pd_up KITLG,MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	REACTOME_SIGNALLING_TO_ERKS (comm_up (2/36) and pd_up (3/36))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION (comm_up (2/77) and pc_up (3/77))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,S100B and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	REACTOME_TRIF_MEDIATED_TLR3_SIGNALING (comm_up (2/74) and pc_up (3/74))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,S100B and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	ST_B_CELL_ANTIGEN_RECEPTOR (comm_up (2/40) and pd_up (3/40))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	BIOCARTA_FMLP_PATHWAY (comm_up (2/39))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	BIOCARTA_IL3_PATHWAY (pd_up (2/15))	druggable: MAP2K1 (pc and pd)	overlap_genes_in_pc_up MAP2K1 and pd_up MAP2K1,SHC1						
TH06_0613_S01	geneSets_priority1	BIOCARTA_MET_PATHWAY (comm_up (2/37))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	BIOCARTA_TGFB_PATHWAY (pc_up (2/19))	druggable: MAP2K1 (pc and pd)	overlap_genes_in_pc_up MAP2K1,TGFB2 and pd_up MAP2K1						
TH06_0613_S01	geneSets_priority1	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY (comm_up (2/79))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	KEGG_INSULIN_SIGNALING_PATHWAY (pd_up (4/137))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up FASN,MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	KEGG_MAPK_SIGNALING_PATHWAY (comm_up (3/267))	druggable: FGFR1 (pd), MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up LAMTOR3,MAP2K1,MAP2K2,TGFB2 and pd_up FGFR1,LAMTOR3,MAP2K1,MAP2K2,RAPGEF2						
TH06_0613_S01	geneSets_priority1	KEGG_VEGF_SIGNALING_PATHWAY (comm_up (2/76))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	PID_CD8_TCR_DOWNSTREAM_PATHWAY (comm_up (2/65))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	PID_CERAMIDE_PATHWAY (comm_up (2/48))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	PID_CXCR3_PATHWAY (comm_up (2/43))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	PID_FGF_PATHWAY (pd_up (3/55))	druggable: FGFR1 (pd)	overlap_genes_in_pc_up NA and pd_up FGFR1,PLAU,SHC1						
TH06_0613_S01	geneSets_priority1	PID_MET_PATHWAY (comm_up (2/80))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	PID_VEGFR1_2_PATHWAY (comm_up (2/69))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	REACTOME_ACTIVATED_TLR4_SIGNALLING (pc_up (3/93))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,S100B and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	REACTOME_L1CAM_INTERACTIONS (pd_up (6/86))	druggable: FGFR1 (pd), MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up ANK3,EZR,FGFR1,LAMC1,MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE (comm_up (2/50))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	REACTOME_SIGNALING_BY_EGFR_IN_CANCER (pc_up (3/109))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,PHLPP1 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	REACTOME_SIGNALING_BY_FGFR_IN_DISEASE (pd_up (4/127))	druggable: FGFR1 (pd), MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,PHLPP1 and pd_up FGFR1,MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	REACTOME_SIGNALING_BY_GPCR (comm_up (5/920))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up FZD8,GABBR2,GRM3,LPAR1,MAP2K1,MAP2K2,PNOC and pd_up ADORA2B,FZD8,GRM3,MAP2K1,MAP2K2,PNOC						
TH06_0613_S01	geneSets_priority1	REACTOME_SIGNALING_BY_INSULIN_RECEPTOR (pd_up (5/108))	druggable: FGFR1 (pd), MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up DOK1,FGFR1,MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_priority1	REACTOME_TOLL_RECEPTOR_CASCADES (pc_up (3/118))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,S100B and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_broadCancer	PID_GLYPICAN_1PATHWAY (comm_up (2/27) and pc_up (3/27) and pd_up (3/27))	druggable: FGFR1 (pd)	overlap_genes_in_pc_up NRG1,SLIT2,TGFB2 and pd_up FGFR1,NRG1,SLIT2						
TH06_0613_S01	geneSets_broadCancer	REACTOME_SHC_RELATED_EVENTS (comm_up (2/17) and pc_up (2/17) and pd_up (3/17))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_broadCancer	KEGG_CHRONIC_MYELOID_LEUKEMIA (comm_up (2/73) and pc_up (3/73))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,TGFB2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_broadCancer	KEGG_RENAL_CELL_CARCINOMA (comm_up (2/70) and pc_up (3/70))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,TGFB2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_broadCancer	KEGG_THYROID_CANCER (comm_up (2/29) and pc_up (2/29))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_broadCancer	KEGG_ACUTE_MYELOID_LEUKEMIA (comm_up (2/60))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_broadCancer	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY (comm_up (2/75))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_broadCancer	KEGG_BLADDER_CANCER (comm_up (2/42))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_broadCancer	KEGG_ENDOMETRIAL_CANCER (comm_up (2/52))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_broadCancer	KEGG_GLIOMA (comm_up (2/65))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_broadCancer	KEGG_MELANOMA (comm_up (2/71))	druggable: FGFR1 (pd), MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up FGFR1,MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_broadCancer	KEGG_NON_SMALL_CELL_LUNG_CANCER (comm_up (2/54))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_broadCancer	KEGG_PATHWAYS_IN_CANCER (pd_up (7/328))	druggable: FGFR1 (pd), MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up FZD8,MAP2K1,MAP2K2,TGFB2 and pd_up BIRC2,FGFR1,FZD8,KITLG,LAMC1,MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_broadCancer	PID_ENDOTHELIN_PATHWAY (comm_up (2/63))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_broadCancer	REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION (pc_up (3/95))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2,PHLPP1 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_broadCancer	REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE (pd_up (5/87))	druggable: FGFR1 (pd), MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up DOK1,FGFR1,MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_nonCancer	REACTOME_DEVELOPMENTAL_BIOLOGY (comm_up (4/396) and pc_up (5/396) and pd_up (10/396))	druggable: CCND3 (pd), FGFR1 (pd), MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up COL2A1,MAP2K1,MAP2K2,NTN1,SLIT2 and pd_up ANK3,CCND3,COL2A1,EZR,FABP4,FGFR1,LAMC1,MAP2K1,MAP2K2,SLIT2						
TH06_0613_S01	geneSets_nonCancer	KEGG_MELANOGENESIS (comm_up (3/102) and pc_up (3/102) and pd_up (4/102))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up FZD8,MAP2K1,MAP2K2 and pd_up FZD8,KITLG,MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_nonCancer	BIOCARTA_BIOPEPTIDES_PATHWAY (comm_up (2/45) and pd_up (3/45))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_nonCancer	BIOCARTA_HCMV_PATHWAY (comm_up (2/17) and pc_up (2/17))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_nonCancer	BIOCARTA_INTEGRIN_PATHWAY (comm_up (2/38) and pd_up (3/38))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2,SHC1						
TH06_0613_S01	geneSets_nonCancer	KEGG_PRION_DISEASES (comm_up (2/35) and pd_up (3/35))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up LAMC1,MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_nonCancer	PID_ANTHRAX_PATHWAY (comm_up (2/17) and pc_up (2/17))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_nonCancer	HALLMARK_ANDROGEN_RESPONSE (pd_up (4/101))	druggable: CCND3 (pd)	overlap_genes_in_pc_up NA and pd_up CCND3,HSD17B14,SCD,UAP1						
TH06_0613_S01	geneSets_nonCancer	KEGG_GAP_JUNCTION (pc_up (5/90))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up LPAR1,MAP2K1,MAP2K2,TUBA1A,TUBB2B and pd_up MAP2K1,MAP2K2						
